CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,x,y
10-1-079165,-85.3549,344.197,-85.3553,344.196,1.26509,0.0659125,1.51066,1.05092,0.718362,1.43746,18.5073,0.000373648,0.00548917,0.0353147,0.0221996,3.0958,0.0212263,0.0452906,0.809644,10,-38380.153424369324,135605.48526066364
10-1-079166,-85.6919,345.317,-85.6927,345.305,1.73753,0.0478741,1.91976,1.6307,0.527701,1.17726,55.8254,0.000161984,0.00262367,0.0155664,0.00814945,1.95294,0.0130235,0.0112133,0.764103,15,-33128.04544780723,126429.41637548283
10-1-079167,-85.6037,343.824,-85.6036,343.824,1.23269,0.0248079,1.28764,1.17277,0.412865,1.09795,19.0673,0.000259201,0.00335966,0.019134,0.0188151,7.95017,0.0439375,0.0240097,1.0,12,-37157.06142272518,128095.6958521411
10-1-079169,-85.7004,346.161,-85.7003,346.158,1.2976,0.0222614,1.3415,1.26515,0.332533,1.06034,133.819,0.000253524,0.00490457,0.0271768,0.0172486,13.7929,0.0653131,0.0258925,0.739459,10,-31200.401096643396,126653.05746716779
10-1-079170,-85.7937,346.027,-85.7935,346.03,1.44329,0.03103,1.50586,1.39587,0.37516,1.07879,67.4295,0.000308665,0.00373161,0.0248584,0.0193073,8.6768,0.0493267,0.0232335,0.803536,12,-30812.438181636793,123830.50372084384
10-1-079171,-85.7551,346.499,-85.7551,346.499,1.68205,0.021709,1.72562,1.63938,0.312181,1.05261,167.023,0.000260596,0.00467375,0.0216981,0.0187242,13.5374,0.049111,0.0178806,0.765617,12,-30064.929421169003,125219.81561915742
10-1-079172,-85.6907,348.482,-85.6907,348.475,1.25816,0.0991271,1.51706,1.00126,0.751266,1.51515,42.1155,0.00047043,0.00644287,0.039039,0.0305007,3.09372,0.0231214,0.0604196,1.0,13,-26104.422504908,128101.32820730841
10-1-079174,-85.6375,350.256,-85.6376,350.249,1.07983,0.0380801,1.19589,0.981289,0.571573,1.21869,51.9657,0.000227597,0.0031228,0.0201352,0.01499,3.641,0.0267803,0.0277058,1.0,9,-22399.6730351555,130440.25870935903
10-1-079175,-85.6657,350.682,-85.6678,350.702,2.45963,0.0424014,2.52013,2.24181,0.45682,1.12415,36.1043,0.000482028,0.00627105,0.0214997,0.0449095,3.85482,0.0377168,0.0244768,0.694265,15,-21290.571045926907,129758.14426493284
10-1-079176,-85.9326,346.708,-85.9331,346.717,1.06272,0.0423525,1.1705,0.890278,0.649222,1.31475,22.8765,0.000397119,0.00675025,0.0254779,0.0337938,5.84553,0.0389909,0.0575293,0.673374,9,-28368.844668353355,120083.54789262387
10-1-079177,-85.6635,347.38,-85.6636,347.378,1.08845,0.0263838,1.11058,1.04939,0.327344,1.05831,148.974,0.000439054,0.00557665,0.0289015,0.0364187,23.2371,0.118316,0.0459073,0.767284,10,-28743.74403689373,128381.60063423998
10-1-079178,-85.6994,347.2,-85.7,347.194,1.22052,0.0370644,1.31,1.16543,0.456656,1.12405,48.867,0.000674256,0.00785695,0.0611542,0.0363034,12.2771,0.0972684,0.063083,0.771031,9,-28905.401826890557,127227.60131666253
10-1-079182,-85.8474,351.61,-85.8475,351.607,1.07313,0.0273598,1.14488,1.02156,0.451471,1.12072,64.8839,0.000182381,0.00256229,0.0155988,0.0109596,5.21899,0.0305823,0.0194352,0.781334,9,-18381.18879248533,124627.67673794775
10-1-079184,-85.8051,350.772,-85.8051,350.77,1.14565,0.0362745,1.21204,1.07084,0.468426,1.13186,79.3686,0.000395454,0.00622404,0.0276436,0.0282462,12.4892,0.058108,0.0394687,0.755332,9,-20407.912579792483,125613.27440572903
10-1-079185,-85.8795,351.024,-85.8795,351.025,1.11951,0.00555702,1.12989,1.10185,0.221421,1.02545,105.701,0.00012391,0.00181389,0.00600085,0.0110522,15.0329,0.0487462,0.0116388,0.68932,8,-19502.785439158706,123470.45249906663
10-1-079186,-85.9087,350.768,-85.9082,350.78,1.33584,0.04176,1.4869,1.23434,0.557545,1.20461,70.8742,0.000374389,0.00488587,0.0335061,0.0180878,4.64989,0.0332244,0.0323796,0.754658,10,-19912.02404609971,122506.98551370807
10-1-079187,-85.5546,352.469,-85.5537,352.477,2.76733,0.0487301,2.89312,2.57688,0.454606,1.12272,129.322,0.000601066,0.00406674,0.0236071,0.034678,5.30683,0.0274642,0.0176693,0.722729,17,-17676.03019004948,133703.73327718306
10-1-079188,-85.5558,353.739,-85.5554,353.743,2.30968,0.032007,2.34226,2.24508,0.285056,1.04328,144.832,0.00030936,0.00372574,0.0183468,0.0286197,8.29844,0.0482228,0.0156096,0.755156,15,-14704.322033581147,134026.43285130186
10-1-079189,-85.5296,351.563,-85.5297,351.56,1.64669,0.0472933,1.7319,1.56112,0.433009,1.1094,97.7282,0.000379994,0.00457535,0.0276879,0.0257392,7.59606,0.0430931,0.0254781,1.0,13,-19899.342966786313,134158.53974731883
10-1-079192,-85.6597,344.902,-85.6598,344.894,1.25664,0.0385523,1.36427,1.17511,0.508019,1.16097,43.7563,0.000331043,0.00489248,0.033661,0.0227249,5.45381,0.0457821,0.0363951,0.796666,10,-34297.600724745666,127130.20329696262
